matrix,scaling_type,read_mode,mpi_ranks,omp_threads,status,spmv_total_p90_ms,spmv_comm_p90_ms,spmv_comp_p90_ms,gflops,dist_sum_mb,iter_sum_mb,nnz_min,nnz_avg,nnz_max
matrices/strong/poisson.mtx,strong,mpiio,1,4,OK,0.648,0.010,0.639,1.088335,5.383,0.103,352762,352762.00,352762
matrices/strong/poisson.mtx,strong,mpiio,1,8,OK,1.008,0.010,0.998,0.699736,5.383,0.103,352762,352762.00,352762
matrices/strong/poisson.mtx,strong,mpiio,2,2,OK,0.311,0.005,0.306,2.269305,5.383,0.103,146394,176380.50,206367
matrices/strong/poisson.mtx,strong,mpiio,2,4,OK,0.492,0.005,0.488,1.433014,5.383,0.103,146394,176380.50,206367
matrices/strong/poisson.mtx,strong,mpiio,2,8,OK,0.849,0.004,0.845,0.830762,5.383,0.103,146394,176380.50,206367
matrices/strong/poisson.mtx,strong,mpiio,4,2,OK,0.257,0.064,0.193,2.739960,5.383,0.206,67571,88189.75,127544
matrices/strong/poisson.mtx,strong,mpiio,4,4,OK,0.438,0.067,0.371,1.610864,5.383,0.206,67571,88189.75,127544
matrices/strong/poisson.mtx,strong,mpiio,4,8,OK,0.832,0.064,0.768,0.847653,5.383,0.206,67571,88189.75,127544
matrices/strong/poisson.mtx,strong,mpiio,8,2,OK,0.206,0.040,0.166,3.417002,5.383,0.206,27658,44094.38,78892
matrices/strong/poisson.mtx,strong,mpiio,8,4,OK,0.410,0.045,0.365,1.721421,5.383,0.206,27658,44094.38,78892
matrices/strong/poisson.mtx,strong,mpiio,8,8,OK,0.803,0.040,0.762,0.878861,5.383,0.206,27658,44094.38,78892
matrices/strong/poisson.mtx,strong,mpiio,16,2,OK,0.210,0.070,0.139,3.366389,5.382,0.412,12352,22046.69,50813
matrices/strong/poisson.mtx,strong,mpiio,16,4,OK,0.424,0.049,0.375,1.665198,5.382,0.412,12352,22046.69,50813
matrices/strong/poisson.mtx,strong,mpiio,16,8,OK,0.788,0.040,0.747,0.895598,5.382,0.412,12352,22046.69,50813
matrices/strong/poisson.mtx,strong,mpiio,32,2,OK,0.164,0.022,0.141,4.300771,5.382,0.412,4372,11022.88,32455
matrices/strong/poisson.mtx,strong,mpiio,32,4,OK,0.372,0.035,0.337,1.895535,5.382,0.412,4372,11022.88,32455
matrices/strong/poisson.mtx,strong,mpiio,64,2,OK,0.178,0.041,0.138,3.960726,5.382,0.825,1523,5510.94,22151
matrices/strong/amazon0312.mtx,strong,mpiio,1,2,OK,8.653,0.644,8.009,0.739736,48.835,3.057,3200440,3200440.00,3200440
matrices/strong/amazon0312.mtx,strong,mpiio,1,4,OK,9.026,0.658,8.368,0.709156,48.835,3.057,3200440,3200440.00,3200440
matrices/strong/amazon0312.mtx,strong,mpiio,1,8,OK,9.350,0.653,8.696,0.684599,48.835,3.057,3200440,3200440.00,3200440
matrices/strong/amazon0312.mtx,strong,mpiio,2,2,OK,4.856,0.302,4.554,1.318173,48.835,3.057,1484882,1600219.50,1715557
matrices/strong/amazon0312.mtx,strong,mpiio,2,4,OK,5.292,0.311,4.981,1.209444,48.835,3.057,1484882,1600219.50,1715557
matrices/strong/amazon0312.mtx,strong,mpiio,2,8,OK,5.500,0.309,5.191,1.163779,48.835,3.057,1484882,1600219.50,1715557
matrices/strong/amazon0312.mtx,strong,mpiio,4,2,OK,5.249,3.968,1.281,1.219552,48.835,6.115,120337,800109.25,1595219
matrices/strong/amazon0312.mtx,strong,mpiio,4,4,OK,5.441,3.920,1.521,1.176374,48.835,6.115,120337,800109.25,1595219
matrices/strong/amazon0312.mtx,strong,mpiio,4,8,OK,5.685,3.920,1.765,1.125905,48.835,6.115,120337,800109.25,1595219
matrices/strong/amazon0312.mtx,strong,mpiio,8,2,OK,3.420,2.222,1.197,1.871666,48.835,6.115,13349,400054.12,812212
matrices/strong/amazon0312.mtx,strong,mpiio,8,4,OK,3.586,2.185,1.400,1.785170,48.835,6.115,13349,400054.12,812212
matrices/strong/amazon0312.mtx,strong,mpiio,8,8,OK,3.996,2.168,1.828,1.601669,48.835,6.115,13349,400054.12,812212
matrices/strong/amazon0312.mtx,strong,mpiio,16,2,OK,4.882,4.368,0.514,1.311214,48.835,12.229,3775,200026.56,712093
