matrix;approach;variant;threads;schedule;chunk;block_rows;p90_ms;gflops;bandwidth
west0479.mtx;parallel(omp+csr);loop;1;dynamic;16;0;0.005078;0.752328;7.523283
west0479.mtx;parallel(omp+csr);loop;1;dynamic;32;0;0.004331;0.882085;8.820847
west0479.mtx;parallel(omp+csr);loop;1;guided;0;0;0.003684;1.036829;10.368286
west0479.mtx;parallel(omp+csr);loop;1;guided;1;0;0.003653;1.045817;10.458169
west0479.mtx;parallel(omp+csr);loop;1;guided;4;0;0.003811;1.002369;10.023690
west0479.mtx;parallel(omp+csr);loop;1;guided;8;0;0.003560;1.073180;10.731799
west0479.mtx;parallel(omp+csr);loop;1;guided;16;0;0.003586;1.065375;10.653750
west0479.mtx;parallel(omp+csr);loop;1;guided;32;0;0.003446;1.108566;11.085659
west0479.mtx;parallel(omp+csr);loop;2;static;0;0;0.021679;0.176205;1.762047
west0479.mtx;parallel(omp+csr);loop;2;static;1;0;0.008708;0.438684;4.386838
west0479.mtx;parallel(omp+csr);loop;2;static;4;0;0.012247;0.311916;3.119159
west0479.mtx;parallel(omp+csr);loop;2;static;8;0;0.004858;0.786368;7.863677
west0479.mtx;parallel(omp+csr);loop;2;static;16;0;0.003686;1.036305;10.363046
west0479.mtx;parallel(omp+csr);loop;2;static;32;0;0.011543;0.330942;3.309419
west0479.mtx;parallel(omp+csr);loop;2;dynamic;0;0;0.037491;0.101890;1.018902
west0479.mtx;parallel(omp+csr);loop;2;dynamic;1;0;0.033773;0.113106;1.131065
west0479.mtx;parallel(omp+csr);loop;2;dynamic;4;0;0.009820;0.389007;3.890074
west0479.mtx;parallel(omp+csr);loop;2;dynamic;8;0;0.007460;0.512072;5.120716
west0479.mtx;parallel(omp+csr);loop;2;dynamic;16;0;0.005269;0.724937;7.249370
west0479.mtx;parallel(omp+csr);loop;2;dynamic;32;0;0.004292;0.890125;8.901245
west0479.mtx;parallel(omp+csr);loop;2;guided;0;0;0.004217;0.905851;9.058511
west0479.mtx;parallel(omp+csr);loop;2;guided;1;0;0.004711;0.810932;8.109319
west0479.mtx;parallel(omp+csr);loop;2;guided;4;0;0.018459;0.206947;2.069472
